Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
55	153	0	90	40.92	147.82	124.88	68.32	63.39	14.08	45.94	38.48	2.64	14.56	0.83	0.028	8.96	2.63	0.29
55	143	0	90	40.17	147.71	124.72	67.82	63.38	14.08	45.80	38.52	2.47	15.58	0.83	0.028	8.65	2.51	0.29
65	143	0	90	41.36	149.46	126.30	69.59	64.54	14.33	46.57	38.36	2.61	14.68	0.83	0.027	7.98	2.53	0.32
65	153	0	90	39.43	149.79	126.55	69.68	64.39	14.28	46.70	38.70	2.63	14.73	0.83	0.028	9.37	2.62	0.28
65	163	0	90	35.31	149.94	126.36	67.94	64.16	14.23	46.69	39.08	2.46	15.90	0.83	0.027	8.87	2.73	0.31
65	173	0	90	39.30	152.88	129.36	68.49	64.25	14.23	46.96	41.68	2.67	15.63	0.83	0.029	9.23	2.92	0.32
65	183	0	90	36.63	154.09	130.19	67.43	64.15	14.22	47.08	42.86	2.53	16.92	0.83	0.029	10.17	3.08	0.30
65	193	0	90	40.48	155.83	132.02	68.63	64.42	14.26	47.29	44.11	2.67	16.53	0.83	0.030	8.99	3.26	0.36
65	203	0	90	40.58	156.53	132.90	69.87	64.62	14.31	47.42	44.50	2.54	17.51	0.84	0.030	11.76	3.38	0.29
65	213	0	90	38.03	156.22	132.32	69.23	64.68	14.32	47.50	44.04	2.52	17.46	0.83	0.030	12.39	3.44	0.28
65	223	0	90	40.10	155.06	130.89	68.84	64.97	14.37	47.65	42.44	2.63	16.13	0.83	0.029	11.16	3.45	0.31
65	233	0	90	43.62	155.31	131.62	70.47	64.93	14.36	47.70	42.67	2.71	15.77	0.83	0.030	11.39	3.50	0.31
65	243	0	90	39.12	156.21	132.20	69.18	64.95	14.35	47.98	43.29	2.65	16.35	0.83	0.030	11.93	3.61	0.30
