Cordonn?s 	Cordonn?s 	Cordonn?s 	Cordonn?s 	Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU ?argi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	El?ation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
500	100	0	0	5.63	24.34	20.66	7.77	7.75	2.13	11.08	5.51	0.64	8.64	0.83	0.004	4.98	0.41	0.08
500	150	0	0	5.55	24.02	20.38	7.66	7.64	2.1	10.94	5.44	0.63	8.66	0.83	0.004	5	0.41	0.08
500	200	0	0	5.44	23.52	19.97	7.48	7.46	2.05	10.73	5.33	0.61	8.69	0.83	0.004	5.02	0.4	0.08
500	250	0	0	5.29	22.9	19.44	7.25	7.24	1.98	10.47	5.2	0.6	8.7	0.83	0.004	5.03	0.39	0.08
500	300	0	0	5.12	22.14	18.81	6.98	6.96	1.91	10.14	5.04	0.58	8.71	0.83	0.004	5.02	0.38	0.08
500	350	0	0	4.91	21.27	18.07	6.67	6.65	1.82	9.77	4.85	0.55	8.8	0.83	0.003	5.04	0.36	0.07
500	400	0	0	4.72	20.34	17.29	6.33	6.32	1.73	9.37	4.65	0.53	8.73	0.83	0.003	5.06	0.35	0.07
500	450	0	0	4.47	19.36	16.46	5.98	5.97	1.63	8.95	4.44	0.5	8.83	0.83	0.003	5.05	0.33	0.07
500	500	0	0	4.23	18.3	15.57	5.61	5.59	1.52	8.49	4.21	0.48	8.8	0.83	0.003	5.04	0.32	0.06
500	550	0	0	3.97	17.18	14.63	5.22	5.21	1.42	8.01	3.97	0.45	8.84	0.83	0.003	5.05	0.3	0.06
500	600	0	0	3.71	16.1	13.71	4.84	4.83	1.31	7.53	3.74	0.42	8.85	0.83	0.003	5.05	0.28	0.06
500	650	0	0	3.45	15.03	12.81	4.47	4.46	1.21	7.06	3.5	0.39	8.87	0.83	0.002	5.07	0.26	0.05
500	700	0	0	3.2	13.92	11.87	4.1	4.09	1.1	6.56	3.26	0.37	8.86	0.83	0.002	5.08	0.25	0.05
